trial_id,replicate_id,com_scale,payload_x_factor,payload_y_factor,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s
30,0,nan,-0.625,-0.625,0.5,-0.19375,-0.19375,0.56,-0.020611702127659576,-0.020611702127659576,0.059574468085106386,7000,7001,7002,0.07104106080158287,0.044984740933711034,0.05116776317649665,0.020126236967079825,0.14201838502002923,0.01316603360990912,0.008607793316982767,0.00669994586434116,0.007372995364454087,0.03300775644876276,4.200130054575362,1.8529815711263469,0.00565596773046972,0.00031569797412910397,0.0008442849030529873,0.005583680574649877,nan,0.3677738555783435,0.2560145932654414,0,0.7793177122248734,0.013522565242413515,True,True,True,True,normal_completion,6.3183809950005525
31,1,nan,-0.625,-0.625,0.5,-0.19375,-0.19375,0.56,-0.020611702127659576,-0.020611702127659576,0.059574468085106386,7003,7004,7005,0.07325347136160451,0.0448220969158421,0.05472626467004785,0.01902857456185679,0.1543094841318123,0.014586608066117614,0.00949455569508855,0.009293396862028415,0.006021239223966126,0.038489967964389006,4.43276915724442,1.7914530945308664,0.002018735870120621,0.0007476863533177232,-0.0002768457708717184,-0.0018546201900994583,nan,0.3611751515575852,0.299627712352702,0,0.7972526764564227,0.00399538223494827,True,True,True,True,normal_completion,6.373396216999936
32,2,nan,-0.625,-0.625,0.5,-0.19375,-0.19375,0.56,-0.020611702127659576,-0.020611702127659576,0.059574468085106386,7006,7007,7008,0.07763544569653492,0.048051907077963925,0.057266919739989874,0.020946994012600046,0.14850628709129343,0.015403442965510342,0.009514066550752162,0.007017397629638541,0.00987444800316108,0.032700061414662265,4.246526591334527,1.508473204045361,0.004279136856302904,0.0004138132091144088,0.0003408374060499299,0.004245421148198314,nan,0.36161591977050855,0.27074044589464646,0,0.7671551428133074,0.005895852074023136,True,True,True,True,normal_completion,6.294727813999998
33,3,nan,-0.625,-0.625,0.5,-0.19375,-0.19375,0.56,-0.020611702127659576,-0.020611702127659576,0.059574468085106386,7009,7010,7011,0.07342885664102165,0.0392745074789589,0.05929369661167277,0.018263832894981718,0.14515297605529187,0.013660451763139516,0.008922279855241872,0.008207021795732586,0.006296479794470658,0.029592422252623155,4.395406091711456,1.9184240192857134,0.008560926976879537,0.0018027365623654867,7.176075373071383e-05,0.008368659509407614,nan,0.36061052604656346,0.29571925546760247,0,0.7941503404881688,0.02510873207028321,True,True,True,True,normal_completion,6.341131888000746
34,4,nan,-0.625,-0.625,0.5,-0.19375,-0.19375,0.56,-0.020611702127659576,-0.020611702127659576,0.059574468085106386,7012,7013,7014,0.07779491953886741,0.04871003164246832,0.05682350728781165,0.02122431018809812,0.16207911398484856,0.013478351854722168,0.008763357547221188,0.006436088191563799,0.007965318701073264,0.03178690277457542,4.16922572611219,1.7024283259959825,0.004378712642017649,-0.0005568217454811758,0.001230572851753136,0.004165184798019486,nan,0.3552350993029869,0.3230780562223351,0,0.7925517096864464,0.00522048252297734,True,True,True,True,normal_completion,6.5218596519998755
35,0,nan,-0.625,0.0,0.5,-0.19375,0.0,0.56,-0.020611702127659576,0.0,0.059574468085106386,7000,7001,7002,0.07105864014774757,0.045044848542117655,0.05113582135028585,0.020135037479389353,0.1421324424610127,0.01290372041162645,0.008407185809366715,0.006709637995840436,0.007127831731528333,0.031293592871615705,4.1685152144468764,1.8540964781529532,0.0055243911702450325,0.0003175247389776738,0.0008372055189762182,0.005451345041456668,nan,0.3343403200811519,0.26154372017606353,0,0.7792884708479677,0.013795193572612805,True,True,True,True,normal_completion,6.439323247000175
36,1,nan,-0.625,0.0,0.5,-0.19375,0.0,0.56,-0.020611702127659576,0.0,0.059574468085106386,7003,7004,7005,0.0734034539988659,0.0449025719184435,0.054861203495695024,0.019028253863047268,0.15453583507628282,0.014463646439718708,0.009333686686666011,0.009369182804537133,0.00585643020478401,0.03755923772621736,4.419235217736576,1.7912443437801824,0.002169113330506052,0.0007481779320478305,-0.0002766749960082739,-0.0020171101529563307,nan,0.3259785481077838,0.2626250566229077,0,0.7972597781743993,0.0029066162036340023,True,True,True,True,normal_completion,6.3692166829996495
37,2,nan,-0.625,0.0,0.5,-0.19375,0.0,0.56,-0.020611702127659576,0.0,0.059574468085106386,7006,7007,7008,0.07763508451467786,0.04806584327964091,0.057253051639558815,0.020951590282749056,0.14852205606077867,0.014813471135302186,0.009387147133272605,0.007154088171562256,0.008952062232147165,0.03033692126460339,4.237506970306599,1.5055068966530811,0.004185308521627984,0.0004356295025220551,0.00033768140067951593,0.004148855942230259,nan,0.3304691940368209,0.2970153560514942,0,0.7671654408863997,0.007430999536225925,True,True,True,True,normal_completion,6.41510994500004
38,3,nan,-0.625,0.0,0.5,-0.19375,0.0,0.56,-0.020611702127659576,0.0,0.059574468085106386,7009,7010,7011,0.07343053928169538,0.039283074158305065,0.05929116137415806,0.018260404343202804,0.1449885508203238,0.013354969566282932,0.008710264309092301,0.008183669014615416,0.005959368191454529,0.028012438225038783,4.360267908507608,1.9144013311644466,0.008372458249927597,0.001795178360088242,6.480232835322558e-05,0.008177480813825952,nan,0.32473005071147637,0.26694675022479636,0,0.7941428451105276,0.023142900332827215,True,True,True,True,normal_completion,6.343750971999725
39,4,nan,-0.625,0.0,0.5,-0.19375,0.0,0.56,-0.020611702127659576,0.0,0.059574468085106386,7012,7013,7014,0.07789376026941315,0.04878557321389756,0.05689084966325266,0.021232921600510647,0.16226783526516433,0.013282129857934493,0.008532069569238979,0.006474449674990105,0.007854951548846212,0.03062611813998008,4.144040239370306,1.6940602456049845,0.00421822023793615,-0.000557425018908625,0.0012300988857845505,0.003996187690189293,nan,0.3274536897694176,0.28517280289123514,0,0.7925296156980315,0.005208787685000316,True,True,True,True,normal_completion,6.4138351250003325
40,0,nan,-0.625,0.625,0.5,-0.19375,0.19375,0.56,-0.020611702127659576,0.020611702127659576,0.059574468085106386,7000,7001,7002,0.07102666782953451,0.045046089558706454,0.05108726998652253,0.020142696040008793,0.1421271632547742,0.013218761014818172,0.008617347615845938,0.006697781213655252,0.0074576597970514805,0.030551832635104456,4.202155755621252,1.8617290046270518,0.00565065837222532,0.00032119314470449925,0.0008336181210555696,0.005579592801597866,nan,0.3502109963759037,0.31467009974859655,0,0.7792584841443465,0.014604484167115184,True,True,True,True,normal_completion,6.241913787000158
41,1,nan,-0.625,0.625,0.5,-0.19375,0.19375,0.56,-0.020611702127659576,0.020611702127659576,0.059574468085106386,7003,7004,7005,0.07342304970682684,0.0448966980511879,0.054893015857846984,0.01902597020868534,0.15456426426992936,0.014719818730739584,0.009456956875074555,0.009406515078294621,0.0062254722078431335,0.036309302464855635,4.436978768121308,1.7998256779156958,0.0020524230501444466,0.0007488963922752806,-0.00027819225476828635,-0.0018905564365520114,nan,0.34968525023915914,0.2887266951117602,0,0.797284458303231,0.001379910566255881,True,True,True,True,normal_completion,6.108685177000552
