case,replicate_id,com_scale,time,altitude,attitude_error,motor_utilization,servo_angle,servo_rate,a1_min_singular,a1_condition,force_residual,torque_residual,com_error,dob_norm
success,2,1.22,-12.7475,0.3127211133217921,0.2566632168468962,0.3990350986708642,0.582411087386317,0.9997250759211642,0.8956584501115656,1.2327827554823032,21.60783708791639,4.538027520642404,0.07565916760295552,0.0
success,2,1.22,-12.7225,0.3162886389212901,0.2619438863674654,0.40263600865982446,0.6073484727291889,1.1474120427204033,0.890976323303925,1.2439710889506352,21.866499922899926,4.537267758697926,0.07565916760295552,0.0
success,2,1.22,-12.6975,0.3192974843273892,0.2682203032430429,0.4042979438483909,0.6293182133148473,0.8912841579585159,0.886952916521308,1.2536051685378977,21.932619315384603,4.582896221956634,0.07565916760295552,0.0
success,2,1.22,-12.6725,0.32304317401351856,0.2719623630994767,0.40797736843047133,0.641115875793775,0.3696786611287857,0.8844754313926824,1.259609682880778,21.956955667562045,4.619580516887858,0.07565916760295552,0.0
success,2,1.22,-12.6475,0.3261969609656878,0.27525401902808405,0.403360694100292,0.6535272810790128,0.7082581081267657,0.8814473280842402,1.267194934679757,22.216950317088397,4.659217658893194,0.07565916760295552,0.0
success,2,1.22,-12.6225,0.32894606612217747,0.2813163210502095,0.4085985148269994,0.661020943889945,0.6534471423956851,0.8797614129876379,1.2711874982887383,21.827008526190838,4.678589617448308,0.07565916760295552,0.0
success,2,1.22,-12.5975,0.3324077260451671,0.2845440745649577,0.4008366126879934,0.6658925477240132,0.4923931467976908,0.8784736258023518,1.2742617489770054,22.386418437950194,4.740594486925144,0.07565916760295552,0.0
success,2,1.22,-12.5725,0.3353731902451682,0.28807596654631784,0.40067251363961637,0.6692314947333036,0.5552347071710867,0.8770300184536356,1.2778893567808356,21.98331256470159,4.745665905710755,0.07565916760295552,0.0
success,2,1.22,-12.5475,0.3387111289897207,0.293177854105566,0.3949646085362509,0.6687601035473711,0.5083191322722345,0.8773682026243425,1.2765717099948077,21.685656044982508,4.775576368792314,0.07565916760295552,0.0
success,2,1.22,-12.5225,0.3424619227177496,0.2971846037966632,0.39762649532676136,0.6723670286853382,0.4757693006726241,0.8768997869700723,1.2772546986985311,21.79647810121812,4.739422583705417,0.07565916760295552,0.0
success,2,1.22,-12.4975,0.3455568142987064,0.30031323181048686,0.38762474006761205,0.6756939691843254,0.7009267725875685,0.8768210169605329,1.2767577028530077,21.863512593339365,4.798034679142239,0.07565916760295552,0.0
success,2,1.22,-12.4725,0.349233478193984,0.30446357550778186,0.3904434848726433,0.6787262714998639,0.6815141046120267,0.8764018753743409,1.277271070117742,21.662568267516093,4.790310985500639,0.07565916760295552,0.0
success,2,1.22,-12.4475,0.35316793655259127,0.30806625651704606,0.3787751009902096,0.6793012751548028,0.6441354103194967,0.8767368597239964,1.275687293942168,21.535113326038562,4.824484021980438,0.07565916760295552,0.0
success,2,1.22,-12.4225,0.35734878603058623,0.3108964951636768,0.37508892982791237,0.6812277574182604,0.7273054964726354,0.876424024749866,1.2759138291140184,21.35439117368731,4.824827730171002,0.07565916760295552,0.0
success,2,1.22,-12.3975,0.36162092643480953,0.31603995043578886,0.3657345762933339,0.6777335843875754,1.0238347152279152,0.8779001176899676,1.2710988192761028,20.884143581139973,4.842178492046367,0.07565916760295552,0.0
success,2,1.22,-12.3725,0.36621951079350407,0.3223619187696313,0.3709386465097601,0.6773824563901019,1.055578968881731,0.8782503767600439,1.2693335914901513,21.0922252393422,4.793717623779637,0.07565916760295552,0.0
success,2,1.22,-12.3475,0.37061778390090616,0.3232590327819071,0.35984180723486436,0.6732373922969742,0.9121264597489448,0.8791713704335299,1.2659395053056048,21.178613530975596,4.810357338637722,0.07565916760295552,0.0
success,2,1.22,-12.3225,0.37573848020687733,0.32770346294709995,0.35363398362288756,0.6734405450306378,1.5668916822076948,0.8785223374256503,1.2669427567052807,21.226961136770633,4.802207448867893,0.07565916760295552,0.0
success,2,1.22,-12.2975,0.38069679403673606,0.3331846537466752,0.3448570728441231,0.672901984873677,1.380371234786808,0.8784136236789764,1.2661169258423373,20.87470875761873,4.808975401076682,0.07565916760295552,0.0
success,2,1.22,-12.2725,0.3863078088844615,0.33758514554371205,0.34945084784754776,0.6752026928385442,1.139849705723255,0.8777219737912062,1.2665363196170436,20.605365434247265,4.759251845533006,0.07565916760295552,0.0
success,2,1.22,-12.247499999999999,0.3918418844732354,0.3428667923542896,0.3367171039120451,0.6716556338405887,0.5818976936997754,0.8778091520051846,1.2649084092202023,20.827892354507373,4.7699316664274845,0.07565916760295552,0.0
